Movie,Box_office_crores,Budget_crores,Certificate,Release_Date,Run_time_mins,Director,Producer,Lead_Actor1,Lead_Actor2,Lead_Actor3,Genre1,Genre2,Genre3
kuku-mathur-ki-jhand-ho-gayi,1,6,U,30-May-14,109,Aman Sachdeva,Bejoy Nambiar,Siddharth Gupta,Simran Kaur Mundi,Ashish Juneja,Comedy,Romance,Drama
tere-mere-phere,0.5,4,U/A,30-Sep-11,124,Deepa Sahi,Ketan Mehta,Anup Jalota,Kriti Panth,Darshan Jariwala,Comedy,Drama,Romance
great-grand-masti,14,39,A,15-Jul-16,127,Indra Kumar,Indra Kumar,Riteish Deshmukh,Puja Bose,Shraddha Das,Comedy,Drama,Fantasy
pagalpanti1,33,72,U/A,22-Nov-19,165,Anees Bazmee,Bhushan Kumar,Ileana D'cruz,Kriti Kharbanda,John Abraham,Comedy,Drama,Action
aiyyaa,6,19,U/A,11-Oct-12,148,Sachin Kundalkar,Anurag Kashyap,Prithviraj Sukumaran,Rani Mukerji,Subodh Bhave,Comedy,Romance,NA
vaastu-shastra,6,5,A,22-Oct-04,106,Saurab Narang,Ram Gopal Varma,Purab Kohli,J.d. Chakravarthi,Sushmita Sen,Horror,Mystery,NA
raaz-reboot,24,31,A,16-Sep-16,127,Vikram Bhatt,Bhushan Kumar,Emraan Hashmi,Trupti Agarwal,Gauri Arora,Horror,Mystery,Romance
bangistan,5,29,U/A,7-Aug-15,135,Karan Anshuman,Farhan Akhtar,Riteish Deshmukh,Michalina Olszanska,Jacqueline Fernandez,Comedy,Drama,NA
revolver-rani,8,27,U/A,24-Apr-14,132,Sai Kabir,Tigmanshu Dhulia,Kangana Ranaut,Jami Jafry,Vir Das,Action,Comedy,Crime
1920-london,15,21,A,6-May-16,120,Dharmendra Suresh Desai,Vikram Bhatt,Tinu Suresh Desai,Sharman Joshi,Vishal Karwal,Horror,Mystery,NA
jabariya-jodi,16,39,U/A,9-Aug-19,144,Prashant Singh,Ekta Kapoor,Prashant Singh,Sidharth Malhotra,Parineeti Chopra,Drama,Comedy,Romance
sanam-re,21,27,U,12-Feb-16,120,Divya Khosla Kumar,Bhushan Kumar,Rishi Kapoor,Yami Gautam,Neel Tyagi,Drama,Romance,NA
the-gentleman,4,3,U,18-Nov-94,140,Mahesh Bhatt,Bharat S Shah,Juhi Chawla,Chiranjeevi,Heera Rajgopal,Action,Drama,NA
a-flying-jatt,30,55,U/A,25-Aug-16,151,Remo D Souza,Ekta Kapoor,Tiger Shroff,Shraddha Kapoor,Jacqueline Fernandez,Action,Adventure,Comedy
aagey-se-right,3,6,A,4-Sep-09,122,Indrajit Nattooji,Ronnie Screwvala,Shiv Pandit,Kay Kay Menon,Mahie Gill,Comedy,Crime,Drama
lekar-hum-deewana-dil,2,2,U/A,4-Jul-14,140,Arif Ali,Saif Ali Khan,Armaan Jain,Deeksha Seth,Neha Mahajan,Comedy,Romance,Drama
yamla-pagla-deewana-phir-se,9,36,U/A,30-Aug-18,147,Navaniat Singh,Dhaval Gada,Sonakshi Sinha,Salman Khan,Dharmendra,Comedy,Action,Drama
my-friend-pinto,1,9,U/A,14-Oct-11,100,Raaghav Dar,Sanjay Leela Bhansali,Kalki Koechlin,Prateik Babbar,Divya Dutta,Comedy,Crime,Drama
tum-bin-2,6,12,U/A,17-Nov-16,147,Anubhav Sinha,Bhushan Kumar,Mouni Roy,Aashim Gulati,Neha Sharma,Drama,Romance,NA
shakal-pe-mat-ja,0.5,4,A,18-Nov-11,140,Shubh Mukherjee,,Harsh Parekh,Chitrak Bandyopadhyay,Aamna Sharif,Comedy,Crime,Drama
happy-phirr-bhag-jayegi,19,30,U/A,24-Aug-18,137,Mudassar Aziz,Aanand L Rai,Sonakshi Sinha,Jimmy Shergill,Gippy Grewal,Comedy,Romance,Drama
aa-dekhen-zara,6,17,U/A,27-Mar-09,117,Jehangir Surti,Vikram Rajani,Bipasha Basu,Neil Nitin Mukesh,Biswajeet Chatterjee,Adventure,Sci-fi,Thriller
fugly,10,18,U/A,12-Jun-14,135,Kabir Sadanand,Akshay Kumar,Jimmy Shergill,Mohit Marwah,Kiara Advani,Drama,Thriller,Comedy
jo-hum-chahein,0.28,8,U/A,16-Dec-11,140,Pawan Gill,Aman Gill,Himanshu Kohli,Simran Kaur Mundi,Samar Virmani,Drama,Romance,NA
genius1,4,25,U/A,24-Aug-18,164,Anil Sharma,Anil Sharma,Mithun Chakraborty,Dev Gill,Nawazuddin Siddiqui,Action,Thriller,Drama
unforgettable,0.02,6,U,13-Jun-14,131,Arshad Yusuf Pathan,Arshad Yusuf Pathan,Patrick Haider,Armeena Rana Khan,Edward Heredia,Drama,Romance,NA
bheja-fry-2,9,9,U/A,17-Jun-11,129,Sagar Ballary,Mukul Deora,Kay Kay Menon,Aditi Govitrikar,Rukhsar Rehman,Comedy,Drama,NA
lucky-kabootar,0.31,7,U/A,18-Apr-14,117,Shammi Chhabra,Karan Raj Kanwar,Shraddha Das,Kulraj Randhawa,Ravi Kishan Shukla,Comedy,Romance,NA
bolo-raam,0.22,4,U/A,31-Dec-09,103,Rakesh Chaturvedi Om,Goldy Bhutani,Naseeruddin Shah,Rishi Bhutani,Disha Pandey,Action,Crime,Drama
heartless,0.87,11,U/A,7-Feb-14,131,Shekhar Suman,Alka Suman,Shekhar Suman,Adhyayan Suman,Deepti Naval,Drama,Family,Romance
kismat,2,2,U/A,29-May-95,156,Harmesh Malhotra,,Rakhee Gulzar,Govinda,Kabir Bedi,Musical,Family,Drama
mashooka,0.44,1,A,15-Jul-05,107,Afzal Ahmad,Afzal Ahmad,Aaditya Bal,Vidya Malvade,Usha Bachani,Drama,Musical,Romance
setters,0.71,11,U,3-May-19,135,Ashwini Chaudhary,Vikash Mani,Siddharth Bharadwaj,Ishita Dutta,Sonalli Sehgall,Thriller,Drama,Crime
impatient-vivek,0.12,2,U,7-Jan-11,113,Rahat Kazmi,,Hrishikesh Joshi,Sayali Bhagat,Muni Jha,Comedy,Drama,Romance
darr-the-mall,5,16,A,21-Feb-14,125,Pawan Kripalani,Abhimanyu Singh,Jimmy Shergill,Nushrat Bharucha,Vikram Raj Bhardwaj,Horror,Thriller,NA
mastizaade,17,30,A,29-Jan-16,119,Milap Zaveri,Ajay Rai,Riteish Deshmukh,Tusshar Kapoor,Vir Das,Comedy,Romantic comedy,NA
milenge-milenge,6,12,U/A,9-Jul-10,144,Satish Kaushik,Boney Kapoor,Shahid Kapoor,Arjun Kapoor,Kareena Kapoor Khan,Drama,Romance,NA
khushi-i,9,9,U/A,7-Feb-03,166,Surya S.j.,Boney Kapoor,Sj Surya,Sunil Agarwal,Sunil Kumar Agrawal,Action,Drama,Romance
namaste-england,7,54,U/A,18-Oct-18,149,Vipul Amrutlal Shah,Vipul Amrutlal Shah,Arjun Kapoor,Parineeti Chopra,Aditya Seal,Comedy,Romance,Romantic comedy
karzzzz,10,24,U,17-Oct-08,142,Satish Kaushik,Bhushan Kumar,Shweta Kumar,Raj Babbar,Urmila Matondkar,Action,Drama,Musical
gali-gali-chor-hai,3,13,U/A,3-Feb-12,109,Rumi Jaffery,Nitin Manmohan,Akshaye Khanna,Shriya Saran,Mugdha Godse,Drama,Comedy,Family
main-aur-mr-riight,0.29,4,U/A,12-Dec-14,129,Adeeb Rais,Pooja Gujral,Barun Sobti,Maia Sethna,Manav Bhinder,Comedy,Romance,Drama
main-aisa-hi-hoon,2,7,U,6-May-05,162,Harry Baweja,Pammi Baweja,Ajay Devgan,Anupam Kher,Sushmita Sen,Drama,Musical,Family
kyaa-kool-hain-hum-3,23,26,A,22-Jan-16,125,Umesh Ghadge,Ekta Kapoor,Umesh,Riteish Deshmukh,Krishna Abhishek,Comedy,Horror,Drama
rog,2,3,A,7-Jan-05,124,Himanshu Brahmbhatt,Pooja Bhatt,Irrfan Khan,Himanshu Malik,Suhel Seth,Mystery,Romance,Thriller
kyun-ho-gaya-na,7,10,U/A,13-Aug-04,165,Samir Karnik,Boney Kapoor,Kajal Aggarwal,Aishwarya Rai Bachchan,Amitabh Bachchan,Comedy,Drama,Romance
tera-intezaar,1,11,A,12-Jan-19,108,Raajeev Walia,Bijal Mehta,Sunny Leone,Arya Babbar,Sudha Chandran,Romance,Thriller,Drama
ram-gopal-varma-ki-aag,7,21,A,31-Aug-07,172,Ram Gopal Varma,Ram Gopal Varma,Mohanlal Viswanathan,Ajay Devgan,Amitabh Bachchan,Action,Adventure,Comedy
chatur-singh-two-star,2,23,U/A,19-Aug-11,150,Ajay Chandhok,,Sanjay Dutt,Anupam Kher,Rati Agnihotri,Action,Adventure,Comedy
himmatwala,0.89,1,U/A,28-Mar-13,150,Sajid Khan,Vashu Bhagnani,Tamanna Bhatia,Ajay Devgan,Sonakshi Sinha,Action,Comedy,Drama
the-fakir-of-venice,0.16,1,U/A,8-Feb-19,135,Anand Surapur,Anand Surapur,Farhan Akhtar,Hunaid Pandrowala,Kamal Sidhu,Comedy,Drama,NA
